Requirement_ID,Requirement_Text,Passage_Text,Bi_Encoder_Cosine,Cross_Encoder_Logit,LABEL_1_or_0
13,Vendor must commit to an application uptime of at least 99.5% measured monthly.,- Fixed implementation fee (one-time) for Aryavarta DPHR deployment.,0.6619,-10.9314,0
13,Vendor must commit to an application uptime of at least 99.5% measured monthly.,"- Phase 2: Configuration and integration (8 weeks) – tenant setup, role modelling, payroll and identity integrations.",0.6711,-11.2044,0
13,Vendor must commit to an application uptime of at least 99.5% measured monthly.,#NAME?,0.6464,-10.8258,0
13,Vendor must commit to an application uptime of at least 99.5% measured monthly.,"| RFP Ref | Requirement (Summary)                                                        | InsightTech Response (Summary) | Stated Compliance | |--------:|-------------------------------------------------------------------------------|--------- ---------------------------------------------------------------------------------------------------- ---------------------------------------|-------------------| | MR-1    | 24/7/365 uninterrupted technical support availability                        | InsightHR operations are built on a global follow-the-sun model with engineers online at all hours, including weekends and public holidays for P1/P2 incidents.",0.6418,-11.1126,0
13,Vendor must commit to an application uptime of at least 99.5% measured monthly.,"Our **follow-the-sun operational model ensures that qualified support engineers are actively monitoring and available at all hours of the day and night, including weekends and public holidays**, for high-priority incidents.",0.6372,-11.1895,0
14,Vendor must comply with all applicable data protection and privacy laws of Aryavarta and the European Union.,"| Fully Compliant   | | MR-8    | Compliance with applicable data protection and privacy laws                  | InsightHR includes configurable data retention, consent tracking and data subject access tooling; we operate under an EU-style data protection framework.",0.7373,0.0517,1
14,Vendor must comply with all applicable data protection and privacy laws of Aryavarta and the European Union.,"| Fully Compliant   | | MR-9    | Implementation for 10,000 employee records within 6 months                   | Based on our experience with similar public-sector deployments, we anticipate completing the Aryavarta rollout within 5–6 months from contract signature.",0.688,-4.831,0
14,Vendor must comply with all applicable data protection and privacy laws of Aryavarta and the European Union.,"| Fully Compliant   | | MR-2    | All HRIS data stored and processed exclusively within EU data centres        | InsightHR is hosted on EU data centres only, with backups also restricted to EU locations, and our policy states that all data remains sovereign within the EU.",0.6913,-5.3928,1
14,Vendor must comply with all applicable data protection and privacy laws of Aryavarta and the European Union.,EU     | | Data Residency      | **All data remains sovereign within the EU** | Applies to production and backups    | | Sub-processors      | EU or EEA based                              | List provided in Data Processing Addendum |,0.7064,-6.4205,1
14,Vendor must comply with all applicable data protection and privacy laws of Aryavarta and the European Union.,"| Fully Compliant   | | MR-3    | Vendor maintains current ISO/IEC 27001 certification                          | Our information security management system is certified to ISO/IEC 27001:2013, covering the facilities and services used to deliver InsightHR Cloud.",0.7195,-8.75,0
14,Vendor must comply with all applicable data protection and privacy laws of Aryavarta and the European Union.,- Fixed implementation fee (one-time) for Aryavarta DPHR deployment.,0.6845,-5.7844,0
14,Vendor must comply with all applicable data protection and privacy laws of Aryavarta and the European Union.,"InsightTech Solutions Ltd. (""InsightTech"") is pleased to submit this proposal in response to the Government of Aryavarta Department of Human Resources RFP for a Cloud-Based HR Information System (HRIS).",0.6582,-4.5227,0
14,Vendor must comply with all applicable data protection and privacy laws of Aryavarta and the European Union.,Data Residency and Security,0.6779,-6.9359,0
14,Vendor must comply with all applicable data protection and privacy laws of Aryavarta and the European Union.,"The following table summarises key aspects of our data residency and protection commitments for InsightHR Cloud: | Area                | Commitment                                  | Notes |---------------------|----------------------------------------------|------------------------------ --------| | Primary Region      | EU (Ireland, Germany)                        | Production and DR data centres       | | Backup Locations    | EU-only                                      | No backups stored outside the",0.6845,-7.3472,1
14,Vendor must comply with all applicable data protection and privacy laws of Aryavarta and the European Union.,The table below provides InsightTech's self-assessment against the Mandatory Requirements listed in Section 3 of the RFP.,0.6643,-10.6911,0
15,Vendor must complete the initial implementation within 6 calendar months from contract signature.,"| Fully Compliant   | | MR-9    | Implementation for 10,000 employee records within 6 months                   | Based on our experience with similar public-sector deployments, we anticipate completing the Aryavarta rollout within 5–6 months from contract signature.",0.722,5.4351,1
15,Vendor must complete the initial implementation within 6 calendar months from contract signature.,All pricing in this proposal is quoted in EUR and is valid for 180 days from the proposal submission date.,0.7272,-8.6135,0
15,Vendor must complete the initial implementation within 6 calendar months from contract signature.,"- Phase 1: Discovery and design (4 weeks) – detailed workshops, requirements validation, integration design.",0.6775,-9.7279,0
15,Vendor must complete the initial implementation within 6 calendar months from contract signature.,"| Fully Compliant   | | MR-10   | Fixed-fee implementation and transparent 5-year pricing in EUR              | We have provided a fixed implementation fee and a 5-year subscription fee schedule in EUR, including storage tiers and optional premium support add-ons.",0.6663,-9.6191,0
15,Vendor must complete the initial implementation within 6 calendar months from contract signature.,Implementation Approach (Summary),0.6353,-5.2883,0
15,Vendor must complete the initial implementation within 6 calendar months from contract signature.,"- Phase 2: Configuration and integration (8 weeks) – tenant setup, role modelling, payroll and identity integrations.",0.6627,-10.2072,0
15,Vendor must complete the initial implementation within 6 calendar months from contract signature.,"| Partially Compliant (2 years provided) | | MR-6    | Dedicated, named Customer Success Manager                                    | | To Be Discussed   | | MR-7    | Application uptime ≥ 99.5% with defined service credits                      | Our standard SLA for InsightHR Cloud commits to 99.7% monthly uptime, excluding planned maintenance, with service credits for breaches as per our SLA addendum.",0.6716,-11.1696,0
15,Vendor must complete the initial implementation within 6 calendar months from contract signature.,"| Fully Compliant   | | MR-3    | Vendor maintains current ISO/IEC 27001 certification                          | Our information security management system is certified to ISO/IEC 27001:2013, covering the facilities and services used to deliver InsightHR Cloud.",0.6335,-10.2169,0
15,Vendor must complete the initial implementation within 6 calendar months from contract signature.,| Fully Compliant   | | MR-4    | Documented BCP/DR with RTO ≤ 4 hours and RPO ≤ 30 minutes                    | We maintain a tested BCP/DR plan; current architecture supports a target RTO of 4 hours and an RPO of,0.6473,-11.2692,0
15,Vendor must complete the initial implementation within 6 calendar months from contract signature.,- Fixed implementation fee (one-time) for Aryavarta DPHR deployment.,0.6313,-10.3175,0
